Image File,Extracted Numbers
VW_DTN01_L_00007_101000000000000000002038853600000.front.JPG,"1, 4, 28, 3, 7035, 6, 7, 2, 06, 833, 2"
VW_DTN01_A_00002_101000000000000000002051033000000.front.JPG,"2, 137, 006341"
